train/ent_coef_loss,train/critic_loss,time/episodes,time/total_timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/n_updates,rollout/ep_rew_mean,train/actor_loss,rollout/success_rate
-1.4058940913528204,0.24919967458117753,928,90464,0.0001,10,8393,97.67,0.7569583496078849,2816,-97.63,-12.978606194257736,0.04
,,932,91008,,10,8405,97.67,,,-97.63,,0.04
,,936,91328,,10,8413,97.49,,,-97.44,,0.05
,,940,91584,,10,8419,97.49,,,-97.44,,0.05
,,944,91744,,10,8423,97.33,,,-97.28,,0.05
-1.438722264021635,0.1639077152358368,948,92416,0.0001,10,8581,97.33,0.7521299859508872,2880,-97.28,-12.777967646718025,0.05
,,952,92736,,10,8589,97.42,,,-97.37,,0.05
,,956,92960,,10,8594,96.96,,,-96.9,,0.06
,,960,93408,,10,8605,97.0,,,-96.94,,0.06
,,964,94112,,10,8620,97.0,,,-96.94,,0.06
-1.4709204714745283,0.15366746857762337,968,94528,0.0001,10,8773,97.0,0.7473318232223392,2944,-96.94,-12.556789711117744,0.06
,,972,94784,,10,8779,97.0,,,-96.94,,0.06
,,976,94944,,10,8784,97.55,,,-97.5,,0.05
,,980,95616,,10,8799,97.55,,,-97.5,,0.05
,,984,95936,,10,8807,97.55,,,-97.5,,0.05
,,988,96160,,10,8812,97.55,,,-97.5,,0.05
-1.503199053928256,0.15303792350459844,992,96608,0.0001,10,8966,97.91,0.7425638902932405,3008,-97.86,-12.346358612179756,0.05
,,996,97312,,10,8981,97.91,,,-97.86,,0.05
,,1000,97728,,10,8990,97.91,,,-97.86,,0.05
,,1004,97984,,10,8996,98.05,,,-98.0,,0.05
,,1008,98144,,10,9001,98.05,,,-98.0,,0.05
-1.5358590837568045,0.14774818683508784,1012,98816,0.0001,10,9159,98.05,0.7378264302387834,3072,-98.0,-12.134992182254791,0.05
,,1016,99104,,10,9166,98.01,,,-97.96,,0.05
,,1020,99328,,10,9172,97.47,,,-97.41,,0.06
,,1024,99680,,10,9180,98.13,,,-98.08,,0.05
