time/episodes,train/ent_coef,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/n_updates,train/actor_loss,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,train/critic_loss
728,0.8018468013033271,-1.1153848972171545,-94.78,71840,28,0.0001,2240,-14.627082794904709,94.89,0.11,2492,0.21085285604931414
732,,,-94.78,72160,28,,,,94.89,0.11,2499,
736,,,-94.22,72448,28,,,,94.34,0.12,2505,
740,,,-95.33,72800,28,,,,95.43,0.1,2513,
744,,,-96.37,73280,29,,,,96.45,0.08,2523,
748,,,-96.37,73568,29,,,,96.45,0.08,2530,
752,,,-96.37,73600,29,,,,96.45,0.08,2531,
756,0.7967302119359374,-1.147882267832756,-95.91,74400,28,0.0001,2304,-14.431341230869293,96.0,0.09,2576,0.18602353299502283
760,,,-95.91,74944,28,,,,96.0,0.09,2587,
764,,,-95.55,75328,29,,,,95.65,0.1,2596,
768,,,-95.55,75424,29,,,,95.65,0.1,2599,
772,,,-95.13,75648,29,,,,95.24,0.11,2604,
776,0.7916467301547527,-1.1799424700438976,-95.13,76416,28,0.0001,2368,-14.233985900878906,95.24,0.11,2648,0.19717331847641617
780,,,-94.49,76608,28,,,,94.61,0.12,2653,
784,,,-94.49,76800,28,,,,94.61,0.12,2658,
788,,,-94.04,77024,28,,,,94.17,0.13,2663,
792,,,-93.56,77728,29,,,,93.7,0.14,2677,
796,0.7865957841277122,-1.2125578690320253,-93.73,78144,28,0.0001,2432,-14.026861473917961,93.86,0.13,2715,0.22135695011820644
800,,,-93.81,78560,28,,,,93.94,0.13,2724,
804,,,-93.36,78656,28,,,,93.5,0.14,2726,
808,,,-94.38,79168,28,,,,94.5,0.12,2737,
812,,,-94.5,79680,28,,,,94.62,0.12,2748,
816,0.7815768532454967,-1.2445731442421675,-94.5,79968,28,0.0001,2496,-13.805654659867287,94.62,0.12,2783,0.23960774077568203
820,,,-94.5,80224,28,,,,94.62,0.12,2789,
824,,,-94.26,80800,28,,,,94.38,0.12,2801,
828,,,-94.26,81344,28,,,,94.38,0.12,2812,
832,,,-94.26,81760,28,,,,94.38,0.12,2821,
836,,,-95.26,81824,28,,,,95.36,0.1,2823,
840,0.776590627618134,-1.2772558387368917,-95.26,82368,28,0.0001,2560,-13.603217631578445,95.36,0.1,2863,0.22612327348906547
844,,,-95.26,82880,28,,,,95.36,0.1,2873,
848,,,-94.62,83168,28,,,,94.73,0.11,2880,
852,,,-94.62,83328,28,,,,94.73,0.11,2884,
856,,,-94.48,83712,28,,,,94.59,0.11,2892,
860,0.7716354671865702,-1.3094320576637983,-94.48,84192,28,0.0001,2624,-13.391818821430206,94.59,0.11,2932,0.22152789472602308
864,,,-94.84,84704,28,,,,94.94,0.1,2942,
868,,,-94.84,84992,28,,,,94.94,0.1,2948,
872,,,-95.26,85248,28,,,,95.35,0.09,2954,
876,,,-95.14,85984,28,,,,95.24,0.1,2969,
880,0.7667123768478632,-1.3417431879788637,-95.78,86368,28,0.0001,2688,-13.190087720751762,95.87,0.09,3006,0.2054188809124753
884,,,-95.78,86528,28,,,,95.87,0.09,3010,
888,,,-96.23,86912,28,,,,96.31,0.08,3018,
892,,,-96.37,87328,28,,,,96.45,0.08,3027,
896,,,-97.01,87744,28,,,,97.08,0.07,3036,
900,0.7618215531110764,-1.3736995961517096,-97.39,88160,28,0.0001,2752,-12.990282863378525,97.45,0.06,3074,0.1998343599261716
904,,,-97.84,88448,28,,,,97.89,0.05,3080,
908,,,-97.84,89184,28,,,,97.89,0.05,3095,
912,,,-97.85,89568,28,,,,97.9,0.05,3103,
916,,,-97.85,89728,28,,,,97.9,0.05,3107,
920,,,-97.85,90112,28,,,,97.9,0.05,3115,
924,0.7569618336856365,-1.405956307426095,-98.3,90528,28,0.0001,2816,-12.784012630581856,98.34,0.04,3153,0.18952948681544513
928,,,-98.3,90944,28,,,,98.34,0.04,3162,
932,,,-98.3,91360,28,,,,98.34,0.04,3170,
936,,,-98.3,91648,28,,,,98.34,0.04,3177,
940,0.7521330332383513,-1.4387711342424154,-98.3,92384,28,0.0001,2880,-12.576916009187698,98.34,0.04,3221,0.19041006069164723
944,,,-98.3,92768,28,,,,98.34,0.04,3229,
948,,,-98.94,92928,28,,,,98.97,0.03,3233,
952,,,-98.94,93312,28,,,,98.97,0.03,3242,
956,,,-99.47,93728,28,,,,99.49,0.02,3251,
960,,,-99.47,94144,28,,,,99.49,0.02,3259,
964,0.7473345454782248,-1.4709629155695438,-99.47,94560,28,0.0001,2944,-12.380625948309898,99.49,0.02,3297,0.17499993578530848
968,,,-99.47,94848,28,,,,99.49,0.02,3303,
972,,,-99.47,95584,28,,,,99.49,0.02,3319,
976,,,-99.59,95968,28,,,,99.6,0.01,3327,
980,,,-98.96,96064,28,,,,98.98,0.02,3329,
984,0.7425664393231273,-1.5032412074506283,-98.96,96416,28,0.0001,3008,-12.22174420952797,98.98,0.02,3366,0.1648547339718789
988,,,-98.96,96800,28,,,,98.98,0.02,3375,
992,,,-99.15,96992,28,,,,99.16,0.01,3379,
996,,,-97.84,97504,28,,,,97.87,0.03,3390,
1000,,,-97.84,97792,28,,,,97.87,0.03,3396,
1004,0.737828784622252,-1.5359079483896494,-97.43,98368,28,0.0001,3072,-12.018470138311386,97.47,0.04,3437,0.16019879578379914
1008,,,-97.43,98880,28,,,,97.47,0.04,3448,
1012,,,-97.43,99264,28,,,,97.47,0.04,3456,
1016,,,-97.21,99488,28,,,,97.26,0.05,3461,
1020,,,-97.21,99840,28,,,,97.26,0.05,3469,
1024,,,-97.21,100192,28,,,,97.26,0.05,3477,
1028,0.7331219501793385,-1.5673233773559332,-96.41,100544,28,0.0001,3136,-11.822656869888306,96.47,0.06,3514,0.1634790179086849
1032,,,-96.41,100960,28,,,,96.47,0.06,3523,
1036,,,-96.41,101248,28,,,,96.47,0.06,3529,
1040,,,-96.38,101984,28,,,,96.44,0.06,3544,
1044,,,-96.38,102368,28,,,,96.44,0.06,3553,
1048,0.728445834480226,-1.6000530011951923,-96.38,102624,28,0.0001,3200,-11.617766663432121,96.44,0.06,3587,0.16367376974085346
