train/ent_coef_loss,time/fps,train/n_updates,train/ent_coef,train/critic_loss,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,train/actor_loss,rollout/ep_rew_mean,train/learning_rate
-1.5025027617812157,32,3008,0.7426326889544725,0.14517676108516753,988,2978,97.08,96640,0.05,-12.224236011505127,-97.03,0.0001
,32,,,,992,2983,96.34,96992,0.06,,-96.28,
,32,,,,996,2988,96.34,97376,0.06,,-96.28,
,32,,,,1000,2993,96.34,97632,0.06,,-96.28,
,32,,,,1004,3000,96.25,98112,0.06,,-96.19,
-1.5351898558437824,32,3072,0.7378947949036956,0.1484769037924707,1008,3037,96.87,98432,0.05,-12.027000710368156,-96.82,0.0001
,32,,,,1012,3045,96.92,98944,0.05,,-96.87,
,32,,,,1016,3052,96.92,99456,0.05,,-96.87,
,32,,,,1020,3058,96.2,99840,0.06,,-96.14,
,32,,,,1024,3061,96.0,100032,0.07,,-95.93,
,32,,,,1028,3064,96.0,100288,0.07,,-95.93,
-1.566618276759982,32,3136,0.733187597244978,0.13656707463087514,1032,3104,96.0,100736,0.07,-11.822296813130379,-95.93,0.0001
,32,,,,1036,3109,95.53,101088,0.08,,-95.45,
,32,,,,1040,3116,96.06,101568,0.07,,-95.99,
,32,,,,1044,3118,96.06,101696,0.07,,-95.99,
-1.5993569381535053,32,3200,0.7285112282261252,0.14191169460536912,1048,3162,95.77,102496,0.08,-11.625339344143867,-95.69,0.0001
,32,,,,1052,3170,96.27,103040,0.07,,-96.2,
,32,,,,1056,3173,96.27,103232,0.07,,-96.2,
,32,,,,1060,3177,96.27,103488,0.07,,-96.2,
,32,,,,1064,3184,96.27,103936,0.07,,-96.2,
,32,,,,1068,3189,96.27,104288,0.07,,-96.2,
-1.6318558864295483,32,3264,0.723863959312439,0.13545343931764364,1072,3229,96.89,104768,0.06,-11.4299306422472,-96.83,0.0001
,32,,,,1076,3231,97.37,104896,0.05,,-97.32,
,32,,,,1080,3241,96.85,105600,0.06,,-96.79,
,32,,,,1084,3246,96.56,105920,0.07,,-96.49,
,32,,,,1088,3251,96.08,106240,0.08,,-96.0,
,32,,,,1092,3253,96.82,106432,0.07,,-96.75,
-1.6641339641064405,32,3328,0.7192458249628544,0.12211986345937476,1096,3294,96.82,106976,0.07,-11.241657063364983,-96.75,0.0001
,32,,,,1100,3301,96.82,107456,0.07,,-96.75,
,32,,,,1104,3306,96.91,107744,0.07,,-96.84,
,32,,,,1108,3310,96.91,108032,0.07,,-96.84,
-1.6965704690665007,32,3392,0.71465721167624,0.12201488192658871,1112,3353,96.52,108768,0.08,-11.04687049984932,-96.44,0.0001
,32,,,,1116,3358,96.52,109088,0.08,,-96.44,
,32,,,,1120,3362,95.93,109376,0.09,,-95.84,
,32,,,,1124,3366,96.85,109632,0.07,,-96.78,
,32,,,,1128,3370,96.85,109888,0.07,,-96.78,
,32,,,,1132,3379,96.85,110496,0.07,,-96.78,
-1.7289456576108932,32,3456,0.7100981837138534,0.11429192713694647,1136,3417,97.32,110912,0.06,-10.860998257994652,-97.26,0.0001
,32,,,,1140,3422,97.32,111232,0.06,,-97.26,
,32,,,,1144,3433,97.32,111968,0.06,,-97.26,
,32,,,,1148,3436,96.76,112128,0.07,,-96.69,
,32,,,,1152,3442,96.76,112544,0.07,,-96.69,
,32,,,,1156,3444,96.76,112640,0.07,,-96.69,
-1.7615591417998075,32,3520,0.7055670358240604,0.11979782325215638,1160,3481,96.76,112992,0.07,-10.669415563344955,-96.69,0.0001
,32,,,,1164,3491,96.76,113696,0.07,,-96.69,
,32,,,,1168,3497,96.76,114112,0.07,,-96.69,
,32,,,,1172,3502,96.76,114432,0.07,,-96.69,
-1.7932827454060316,32,3584,0.7010654602199793,0.10951960372040048,1176,3545,96.58,115168,0.08,-10.480606615543365,-96.5,0.0001
,32,,,,1180,3547,97.1,115296,0.07,,-97.03,
,32,,,,1184,3551,97.39,115520,0.06,,-97.33,
,32,,,,1188,3556,97.99,115840,0.05,,-97.94,
,32,,,,1192,3561,97.99,116192,0.05,,-97.94,
-1.8260050099343061,32,3648,0.6965925954282284,0.12164067447884008,1196,3603,97.99,116896,0.05,-10.283676818013191,-97.94,0.0001
,32,,,,1200,3610,97.99,117312,0.05,,-97.94,
,32,,,,1204,3614,97.99,117632,0.05,,-97.94,
,32,,,,1208,3625,97.99,118368,0.05,,-97.94,
,32,,,,1212,3627,98.38,118496,0.04,,-98.34,
,32,,,,1216,3631,98.38,118720,0.04,,-98.34,
-1.8575723990797997,32,3712,0.6921487916260958,0.10305330803385004,1220,3668,98.97,119040,0.03,-10.098523393273354,-98.94,0.0001
,32,,,,1224,3672,98.92,119328,0.03,,-98.89,
,32,,,,1228,3682,98.39,119968,0.04,,-98.35,
,32,,,,1232,3688,98.39,120416,0.04,,-98.35,
,32,,,,1236,3694,98.34,120768,0.05,,-98.29,
-1.8900232072919607,32,3776,0.6877342807129025,0.11903760518180206,1240,3730,98.07,121024,0.06,-9.90547899901867,-98.01,0.0001
,32,,,,1244,3738,98.07,121600,0.06,,-98.01,
,32,,,,1248,3743,98.92,121920,0.04,,-98.88,
,32,,,,1252,3748,98.88,122240,0.05,,-98.83,
,32,,,,1256,3752,98.88,122528,0.05,,-98.83,
-1.9225110579282045,32,3840,0.6833478361368179,0.10768765874672681,1260,3794,98.88,123168,0.05,-9.7122912555933,-98.83,0.0001
,32,,,,1264,3800,98.88,123616,0.05,,-98.83,
,32,,,,1268,3804,98.36,123840,0.06,,-98.3,
,32,,,,1272,3809,98.36,124160,0.06,,-98.3,
,32,,,,1276,3817,98.54,124768,0.05,,-98.49,
-1.954480368643999,32,3904,0.6789887202903628,0.11094391025835648,1280,3855,98.54,125088,0.05,-9.519594833254814,-98.49,0.0001
,32,,,,1284,3859,98.54,125376,0.05,,-98.49,
,32,,,,1288,3863,98.22,125664,0.06,,-98.16,
,32,,,,1292,3873,98.22,126304,0.06,,-98.16,
,32,,,,1296,3880,98.22,126816,0.06,,-98.16,
-1.987133277580142,32,3968,0.6746576186269522,0.09810401330469176,1300,3918,98.22,127040,0.06,-9.335936054587364,-98.16,0.0001
,32,,,,1304,3922,97.74,127296,0.07,,-97.67,
,32,,,,1308,3931,97.74,127968,0.07,,-97.67,
,32,,,,1312,3936,97.74,128256,0.07,,-97.67,
,32,,,,1316,3941,97.74,128576,0.07,,-97.67,
,32,,,,1320,3945,97.74,128864,0.07,,-97.67,
-2.019333127886057,32,4032,0.6703543281182647,0.09365630574757233,1324,3985,97.15,129248,0.08,-9.147588342428207,-97.07,0.0001
,32,,,,1328,3994,97.68,129856,0.07,,-97.61,
,32,,,,1332,3999,97.68,130176,0.07,,-97.61,
,32,,,,1336,4003,97.73,130464,0.06,,-97.67,
,32,,,,1340,4006,98.0,130656,0.05,,-97.95,
-2.0522756427526474,32,4096,0.666077671572566,0.08753413736121729,1344,4048,97.4,131200,0.06,-8.97119215130806,-97.34,0.0001
,32,,,,1348,4053,97.17,131520,0.07,,-97.1,
,32,,,,1352,4057,96.55,131776,0.08,,-96.47,
,32,,,,1356,4062,96.55,132064,0.08,,-96.47,
,32,,,,1360,4072,95.98,132768,0.09,,-95.89,
-2.0842528864741325,32,4160,0.6618277318775654,0.0964038182864897,1364,4114,95.98,133312,0.09,-8.782197743654251,-95.89,0.0001
,32,,,,1368,4118,96.35,133568,0.09,,-96.26,
,32,,,,1372,4121,96.35,133760,0.09,,-96.26,
,32,,,,1376,4130,96.01,134368,0.1,,-95.91,
,32,,,,1380,4134,96.01,134688,0.1,,-95.91,
,32,,,,1384,4139,96.01,134976,0.1,,-95.91,
-2.116695411503315,32,4224,0.6576053965836763,0.10064156167209148,1388,4177,96.33,135232,0.09,-8.599912598729134,-96.24,0.0001
,32,,,,1392,4187,96.03,135968,0.1,,-95.93,
,32,,,,1396,4192,95.44,136256,0.11,,-95.33,
,32,,,,1400,4198,95.44,136704,0.11,,-95.33,
,32,,,,1404,4201,95.53,136864,0.11,,-95.42,
,32,,,,1408,4204,95.36,137056,0.12,,-95.24,
-2.1488584131002426,32,4288,0.6534101720899343,0.09674873464973643,1412,4245,95.36,137568,0.12,-8.410804778337479,-95.24,0.0001
,32,,,,1416,4254,95.36,138176,0.12,,-95.24,
,32,,,,1420,4258,94.96,138432,0.13,,-94.83,
,32,,,,1424,4264,95.6,138848,0.12,,-95.48,
-2.1811165995895863,32,4352,0.6492417305707932,0.08909830829361454,1428,4307,95.6,139456,0.12,-8.234909862279892,-95.48,0.0001
,32,,,,1432,4311,94.96,139744,0.13,,-94.83,
,32,,,,1436,4316,94.96,140064,0.13,,-94.83,
,32,,,,1440,4319,94.96,140224,0.13,,-94.83,
,32,,,,1444,4327,95.79,140768,0.11,,-95.68,
,32,,,,1448,4332,95.64,141088,0.12,,-95.52,
-2.2132068499922752,32,4416,0.6451002238318324,0.09607591899111867,1452,4370,95.81,141376,0.11,-8.050056420266628,-95.7,0.0001
,32,,,,1456,4379,95.81,142016,0.11,,-95.7,
,32,,,,1460,4386,96.38,142496,0.1,,-96.28,
,32,,,,1464,4390,95.88,142784,0.11,,-95.77,
,32,,,,1468,4397,96.03,143232,0.1,,-95.93,
,32,,,,1472,4399,96.03,143360,0.1,,-95.93,
