time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef_loss,time/fps,train/learning_rate,train/critic_loss,train/n_updates,rollout/success_rate,train/actor_loss,rollout/ep_len_mean,train/ent_coef
976,-95.84,4141,95840,,23,,,,0.11,,95.95,
980,-95.84,4144,95936,,23,,,,0.11,,95.95,
984,-95.84,4147,96096,,23,,,,0.11,,95.95,
988,-96.38,4200,96288,-1.5037487037479877,22,0.0001,0.17599227477330714,3008,0.1,-12.23138527572155,96.48,0.7424700688570738
992,-96.38,4217,97216,,23,,,,0.1,,96.48,
996,-95.48,4225,97536,,23,,,,0.12,,95.6,
1000,-96.01,4234,97952,,23,,,,0.11,,96.12,
1004,-96.01,4239,98144,,23,,,,0.11,,96.12,
1008,-96.01,4298,98752,-1.5358243808150291,22,0.0001,0.16114792949520051,3072,0.11,-12.05343483388424,96.12,0.7377335447818041
1012,-95.46,4305,99104,,23,,,,0.12,,95.58,
1016,-95.46,4308,99200,,23,,,,0.12,,95.58,
1020,-95.38,4314,99456,,23,,,,0.12,,95.5,
1024,-95.35,4320,99744,,23,,,,0.12,,95.47,
1028,-95.05,4383,100576,-1.5684323851019144,22,0.0001,0.17227933276444674,3136,0.13,-11.84902147948742,95.18,0.733027720823884
1032,-94.79,4387,100768,,22,,,,0.13,,94.92,
1036,-94.62,4397,101184,,23,,,,0.13,,94.75,
1040,-94.62,4404,101536,,23,,,,0.13,,94.75,
1044,-94.62,4418,102240,,23,,,,0.13,,94.75,
1048,-94.73,4421,102336,,23,,,,0.11,,94.84,
1052,-94.73,4470,102432,-1.600665245205164,22,0.0001,0.15471454267390072,3200,0.11,-11.665685638785362,94.84,0.728351297788322
1056,-95.66,4476,102720,,22,,,,0.09,,95.75,
1060,-96.18,4496,103776,,23,,,,0.08,,96.26,
1064,-95.56,4501,103968,,23,,,,0.09,,95.65,
1068,-95.35,4506,104224,,23,,,,0.09,,95.44,
1072,-95.35,4560,104512,-1.6332273818552494,22,0.0001,0.16410432534758002,3264,0.09,-11.48545153439045,95.44,0.723704669624567
1076,-95.35,4571,105152,,22,,,,0.09,,95.44,
1080,-95.35,4579,105504,,23,,,,0.09,,95.44,
1084,-95.35,4581,105600,,23,,,,0.09,,95.44,
1088,-95.35,4588,105920,,23,,,,0.09,,95.44,
1092,-95.35,4656,106976,-1.6651936154812574,22,0.0001,0.15982172812800854,3328,0.09,-11.283966332674026,95.44,0.7190875308588147
1096,-96.25,4661,107168,,22,,,,0.07,,96.32,
1100,-96.25,4666,107424,,23,,,,0.07,,96.32,
1104,-96.25,4672,107712,,23,,,,0.07,,96.32,
1108,-96.05,4686,108352,,23,,,,0.07,,96.12,
1112,-96.05,4739,108672,-1.6978394445031881,22,0.0001,0.13850542437285185,3392,0.07,-11.083250731229782,96.12,0.7144998740404844
1116,-96.05,4742,108800,,22,,,,0.07,,96.12,
1120,-96.13,4746,108992,,22,,,,0.07,,96.2,
1124,-96.53,4766,110016,,23,,,,0.06,,96.59,
1128,-96.83,4772,110336,,23,,,,0.05,,96.88,
1132,-97.54,4824,110624,-1.7302028145641088,22,0.0001,0.12925786373671144,3456,0.04,-10.892446473240852,97.58,0.7099414458498359
1136,-97.54,4831,110912,,22,,,,0.04,,97.58,
1140,-97.54,4837,111264,,22,,,,0.04,,97.58,
1144,-97.54,4849,111840,,23,,,,0.04,,97.58,
1148,-97.54,4852,111936,,23,,,,0.04,,97.58,
1152,-97.54,4857,112192,,23,,,,0.04,,97.58,
1156,-96.72,4916,112896,-1.762229921296239,22,0.0001,0.12846570031251758,3520,0.05,-10.714728340506554,96.77,0.7054121419787407
1160,-97.34,4927,113504,,23,,,,0.04,,97.38,
1164,-97.34,4929,113568,,23,,,,0.04,,97.38,
1168,-97.53,4936,113952,,23,,,,0.04,,97.57,
1172,-96.97,4944,114336,,23,,,,0.05,,97.02,
1176,-96.97,4999,114752,-1.794678222388029,22,0.0001,0.1253362592542544,3584,0.05,-10.54282495379448,97.02,0.7009120872244239
1180,-96.39,5005,115104,,22,,,,0.06,,96.45,
1184,-95.99,5007,115200,,23,,,,0.07,,96.06,
1188,-95.99,5013,115520,,23,,,,0.07,,96.06,
1192,-95.95,5034,116576,,23,,,,0.07,,96.02,
1196,-95.95,5090,116768,-1.826755227521062,22,0.0001,0.19972184009384364,3648,0.07,-10.289029821753502,96.02,0.6964408941566944
1200,-95.43,5098,117120,,22,,,,0.08,,95.51,
1204,-95.33,5102,117312,,22,,,,0.09,,95.42,
1208,-96.08,5112,117952,,23,,,,0.08,,96.16,
1212,-96.08,5119,118272,,23,,,,0.08,,96.16,
1216,-95.56,5121,118336,,23,,,,0.09,,95.65,
1220,-95.56,5124,118432,,23,,,,0.09,,95.65,
1224,-94.69,5132,118752,,23,,,,0.11,,94.8,
1228,-94.69,5202,119904,-1.8591644056141376,23,0.0001,0.12979187967721373,3712,0.11,-10.025599405169487,94.8,0.6919982181861997
1232,-95.19,5210,120320,,23,,,,0.1,,95.29,
1236,-94.71,5213,120448,,23,,,,0.11,,94.82,
1240,-94.71,5275,120864,-1.892075663432479,22,0.0001,0.11536097608041018,3776,0.11,-9.840768694877625,94.82,0.6875833114609122
1244,-94.71,5285,121440,,22,,,,0.11,,94.82,
1248,-94.71,5287,121536,,22,,,,0.11,,94.82,
1252,-94.71,5289,121632,,22,,,,0.11,,94.82,
1256,-95.53,5295,121920,,23,,,,0.1,,95.63,
1260,-95.0,5371,123072,-1.923504862934351,22,0.0001,0.11733316699974239,3840,0.11,-9.653428688645363,95.11,0.6831967160105705
1264,-94.44,5375,123296,,22,,,,0.12,,94.56,
1268,-94.84,5381,123584,,22,,,,0.11,,94.95,
1272,-95.05,5383,123712,,22,,,,0.11,,95.16,
1276,-95.63,5394,124352,,23,,,,0.1,,95.73,
1280,-95.63,5402,124672,,23,,,,0.1,,95.73,
1284,-96.03,5405,124800,,23,,,,0.09,,96.12,
1288,-96.03,5457,125120,-1.9566117282956839,22,0.0001,0.1129131552297622,3904,0.09,-9.475906804203987,96.12,0.6788381403312087
1292,-96.06,5476,126272,,23,,,,0.09,,96.15,
