train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef_loss,rollout/success_rate,train/learning_rate,train/ent_coef,time/episodes,train/critic_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps
,97.82,-97.77,,0.05,,,656,,10392,64224,,6
,98.46,-98.42,,0.04,,,660,,10406,65120,,6
,98.46,-98.42,,0.04,,,664,,10412,65472,,6
-15.133159011602402,98.46,-98.42,-1.017920235171914,0.04,0.0001,0.8174616815522313,668,0.24498675286304206,10725,65696,2048,6
,98.56,-98.53,,0.03,,,672,,10731,66048,,6
,97.92,-97.88,,0.04,,,676,,10736,66304,,6
,97.92,-97.88,,0.04,,,680,,10740,66528,,6
,97.92,-97.88,,0.04,,,684,,10746,66848,,6
,97.92,-97.88,,0.04,,,688,,10754,67264,,6
-14.95243015885353,97.92,-97.88,-1.0502185076475143,0.04,0.0001,0.8122469177469611,692,0.2097279891022481,11076,68192,2112,6
,97.92,-97.88,,0.04,,,696,,11084,68672,,6
,97.92,-97.88,,0.04,,,700,,11090,68896,,6
,97.92,-97.88,,0.04,,,704,,11096,69248,,6
,97.92,-97.88,,0.04,,,708,,11101,69504,,6
-14.760020568966866,97.92,-97.88,-1.0825262852013111,0.04,0.0001,0.8070650668814778,712,0.20922057516872883,11412,69728,2176,6
,97.92,-97.88,,0.04,,,716,,11418,70048,,6
,97.92,-97.88,,0.04,,,720,,11426,70464,,6
,97.66,-97.61,,0.05,,,724,,11437,71136,,6
-14.556352287530899,98.08,-98.04,-1.1149417888373137,0.04,0.0001,0.801916646771133,728,0.21383502194657922,11757,71872,2240,6
,98.63,-98.6,,0.03,,,732,,11763,72096,,6
,98.63,-98.6,,0.03,,,736,,11769,72448,,6
,98.63,-98.6,,0.03,,,740,,11774,72704,,6
,99.1,-99.08,,0.02,,,744,,11778,72928,,6
,99.1,-99.08,,0.02,,,748,,11783,73248,,6
,99.1,-99.08,,0.02,,,752,,11790,73664,,6
-14.373546108603477,99.1,-99.08,-1.1474228613078594,0.02,0.0001,0.7967999596148729,756,0.1733861772227101,12110,74336,2304,6
,98.62,-98.59,,0.03,,,760,,12121,74976,,6
,98.62,-98.59,,0.03,,,764,,12124,75136,,6
,98.62,-98.59,,0.03,,,768,,12132,75552,,6
-14.183315113186836,98.62,-98.59,-1.1794443856924772,0.03,0.0001,0.7917163679376245,772,0.1684794519096613,12445,75872,2368,6
,99.26,-99.24,,0.02,,,776,,12450,76128,,6
,99.26,-99.24,,0.02,,,780,,12456,76448,,6
,98.77,-98.74,,0.03,,,784,,12462,76800,,6
,98.23,-98.19,,0.04,,,788,,12473,77376,,6
,98.23,-98.19,,0.04,,,792,,12480,77792,,6
-13.978026375174522,98.23,-98.19,-1.2120862063020468,0.04,0.0001,0.7866652607917786,796,0.1830269182100892,12797,78304,2432,6
,98.23,-98.19,,0.04,,,800,,12805,78656,,6
,98.23,-98.19,,0.04,,,804,,12812,79040,,6
,98.23,-98.19,,0.04,,,808,,12818,79328,,6
,98.23,-98.19,,0.04,,,812,,12823,79648,,6
-13.782816335558891,98.23,-98.19,-1.2440494932234287,0.04,0.0001,0.7816462321206927,816,0.15338837925810367,13137,80000,2496,6
,98.23,-98.19,,0.04,,,820,,13147,80576,,6
,98.49,-98.46,,0.03,,,824,,13155,80992,,6
,98.43,-98.4,,0.03,,,828,,13163,81504,,6
,98.43,-98.4,,0.03,,,832,,13170,81856,,6
-13.592540219426155,98.43,-98.4,-1.2767338454723358,0.03,0.0001,0.7766599161550403,836,0.15340419567655772,13484,82240,2560,6
,98.43,-98.4,,0.03,,,840,,13491,82528,,6
,98.43,-98.4,,0.03,,,844,,13496,82848,,6
,97.93,-97.89,,0.04,,,848,,13502,83200,,6
,97.93,-97.89,,0.04,,,852,,13507,83456,,6
-13.388263866305351,97.93,-97.89,-1.3088906034827232,0.04,0.0001,0.7717047370970249,856,0.153628803382162,13825,84032,2624,6
,98.41,-98.38,,0.03,,,860,,13837,84704,,6
,97.83,-97.79,,0.04,,,864,,13843,85056,,6
,97.28,-97.23,,0.05,,,868,,13847,85248,,6
,97.28,-97.23,,0.05,,,872,,13852,85536,,6
