time/episodes,rollout/ep_len_mean,train/ent_coef,train/critic_loss,time/total_timesteps,time/time_elapsed,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/learning_rate,rollout/success_rate,train/n_updates
952,96.46,,,93184,3528,,,-96.38,26,,0.08,
956,96.44,,,93696,3538,,,-96.36,26,,0.08,
960,96.44,,,94080,3546,,,-96.36,26,,0.08,
964,96.44,0.7473430866375566,0.15905028337147087,94560,3592,-12.434527024626732,-1.4708818290382624,-96.36,26,0.0001,0.08,2944
968,96.44,,,94784,3597,,,-96.36,26,,0.08,
972,96.44,,,95424,3609,,,-96.36,26,,0.08,
976,96.96,,,95776,3617,,,-96.9,26,,0.06,
980,96.96,,,96000,3622,,,-96.9,26,,0.06,
984,96.39,,,96160,3626,,,-96.32,26,,0.07,
988,96.35,0.7425749925896525,0.13962305977474898,96832,3675,-12.234975591301918,-1.5032013040035963,-96.28,26,0.0001,0.07,3008
992,97.18,,,97152,3682,,,-97.13,26,,0.05,
996,97.62,,,97504,3689,,,-97.58,26,,0.04,
1000,97.08,,,97888,3697,,,-97.03,26,,0.05,
1004,97.82,0.7378373397514224,0.14518944930750877,98528,3746,-12.030725613236427,-1.5358587261289358,-97.78,26,0.0001,0.04,3072
1008,97.79,,,98880,3753,,,-97.74,26,,0.05,
1012,97.79,,,99136,3759,,,-97.74,26,,0.05,
1016,97.79,,,99360,3764,,,-97.74,26,,0.05,
1020,97.49,,,99840,3774,,,-97.43,26,,0.06,
1024,97.93,,,100224,3782,,,-97.88,26,,0.05,
1028,97.93,0.7331304932013154,0.14002601860556751,100608,3826,-11.833338618278503,-1.5672577414661646,-97.88,26,0.0001,0.05,3136
1032,97.93,,,101088,3836,,,-97.88,26,,0.05,
1036,97.93,,,101728,3848,,,-97.88,26,,0.05,
1040,97.93,,,102080,3856,,,-97.88,26,,0.05,
1044,97.93,,,102336,3862,,,-97.88,26,,0.05,
1048,97.93,0.7284544259309769,0.13485368387773633,102560,3902,-11.638812467455864,-1.6000174544751644,-97.88,26,0.0001,0.05,3200
1052,97.45,,,102784,3907,,,-97.39,26,,0.06,
1056,97.47,,,103296,3917,,,-97.41,26,,0.06,
1060,96.78,,,103680,3926,,,-96.71,26,,0.07,
1064,96.78,,,104160,3935,,,-96.71,26,,0.07,
1068,96.78,0.7238074783235788,0.13262995309196413,104864,3985,-11.435322716832161,-1.6325027756392956,-96.71,26,0.0001,0.07,3264
1072,96.78,,,105024,3989,,,-96.71,26,,0.07,
1076,96.22,,,105376,3997,,,-96.14,26,,0.08,
1080,96.22,,,105600,4002,,,-96.14,26,,0.08,
1084,96.42,,,105920,4008,,,-96.34,26,,0.08,
1088,96.05,,,106240,4016,,,-95.96,26,,0.09,
1092,96.04,0.7191896811127663,0.14110790146514773,106592,4059,-11.24877853691578,-1.6648080255836248,-95.95,26,0.0001,0.09,3328
1096,96.04,,,107008,4068,,,-95.95,26,,0.09,
1100,96.32,,,107968,4087,,,-96.23,26,,0.09,
1104,96.89,,,108192,4092,,,-96.81,26,,0.08,
1108,96.92,,,108544,4100,,,-96.85,26,,0.07,
1112,96.92,0.7146013556048274,0.1530358794843778,108736,4140,-11.085193291306496,-1.6972164046019316,-96.85,26,0.0001,0.07,3392
1116,96.92,,,109120,4147,,,-96.85,26,,0.07,
1120,96.77,,,109280,4151,,,-96.7,26,,0.07,
1124,96.2,,,109632,4159,,,-96.12,26,,0.08,
1128,96.2,,,109952,4166,,,-96.12,26,,0.08,
1132,96.2,0.7100427020341158,0.14928424381650984,110784,4218,-10.898621305823326,-1.7295865397900343,-96.12,26,0.0001,0.08,3456
1136,95.93,,,111328,4229,,,-95.84,26,,0.09,
1140,95.93,,,111680,4237,,,-95.84,26,,0.09,
1144,95.93,,,111936,4243,,,-95.84,26,,0.09,
1148,95.42,,,112160,4248,,,-95.31,26,,0.11,
1152,95.9,,,112384,4253,,,-95.8,26,,0.1,
1156,96.59,0.7055121092125773,0.13078414753545076,112832,4298,-10.722037076950073,-1.762208804488182,-96.5,26,0.0001,0.09,3520
1160,96.59,,,113152,4305,,,-96.5,26,,0.09,
1164,96.59,,,113984,4321,,,-96.5,26,,0.09,
1168,94.83,,,114432,4331,,,-94.71,26,,0.12,
1172,94.49,,,114560,4334,,,-94.36,26,,0.13,
