time/total_timesteps,time/episodes,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/n_updates,train/learning_rate,rollout/success_rate,time/time_elapsed,time/fps,train/ent_coef,train/actor_loss,train/ent_coef_loss
99488,1012,96.71,,-96.64,,,0.07,4409,22,,,
100512,1016,96.71,0.1470702567603439,-96.64,3136,0.0001,0.07,4482,22,0.7331597218289971,-11.993705540895462,-1.5668755304068327
100800,1020,97.23,,-97.17,,,0.06,4489,22,,,
100992,1024,97.23,,-97.17,,,0.06,4493,22,,,
101248,1028,97.23,,-97.17,,,0.06,4499,22,,,
101728,1032,97.23,,-97.17,,,0.06,4509,22,,,
101952,1036,97.23,,-97.17,,,0.06,4515,22,,,
102336,1040,97.23,,-97.17,,,0.06,4523,22,,,
102688,1044,97.23,0.13201450428459793,-97.17,3200,0.0001,0.06,4588,22,0.728483340702951,-11.799934476613998,-1.599282743409276
103712,1048,97.23,,-97.17,,,0.06,4603,22,,,
104000,1052,98.08,,-98.03,,,0.05,4608,22,,,
104192,1056,98.08,,-98.03,,,0.05,4612,22,,,
104448,1060,98.35,,-98.3,,,0.05,4618,22,,,
104864,1064,98.67,0.12946879514493048,-98.63,3264,0.0001,0.04,4678,22,0.7238369388505816,-11.609395772218704,-1.6317978221923113
105152,1068,98.67,,-98.63,,,0.04,4686,22,,,
105536,1072,98.67,,-98.63,,,0.04,4694,22,,,
105888,1076,98.67,,-98.63,,,0.04,4701,22,,,
106912,1080,98.67,0.1498312703333795,-98.63,3328,0.0001,0.04,4776,22,0.7192191500216722,-11.49159225821495,-1.6642953157424927
107200,1084,99.0,,-98.97,,,0.03,4781,22,,,
107392,1088,99.5,,-99.48,,,0.02,4786,22,,,
107648,1092,99.5,,-99.48,,,0.02,4791,22,,,
108064,1096,99.5,,-99.48,,,0.02,4798,22,,,
108352,1100,99.79,,-99.78,,,0.01,4803,22,,,
108736,1104,99.79,0.10922287125140429,-99.78,3392,0.0001,0.01,4861,22,0.7146305991336703,-11.348696783185005,-1.69679787568748
109088,1108,99.79,,-99.78,,,0.01,4869,22,,,
110112,1112,99.74,,-99.73,,,0.01,4888,22,,,
110400,1116,99.74,,-99.73,,,0.01,4894,22,,,
110592,1120,99.74,,-99.73,,,0.01,4897,22,,,
110784,1124,99.34,0.10714309674222022,-99.32,3456,0.0001,0.02,4959,22,0.7100712228566408,-11.162666991353035,-1.7289197128266096
111072,1128,99.34,,-99.32,,,0.02,4964,22,,,
111520,1132,99.34,,-99.32,,,0.02,4972,22,,,
111776,1136,98.67,,-98.64,,,0.03,4977,22,,,
112224,1140,98.67,,-98.64,,,0.03,4986,22,,,
112864,1144,98.64,0.11649929650593549,-98.61,3520,0.0001,0.03,5045,22,0.7055409299209714,-10.963591799139977,-1.7612247169017792
113440,1148,98.64,,-98.61,,,0.03,5058,22,,,
113760,1152,98.64,,-98.61,,,0.03,5063,22,,,
113984,1156,98.64,,-98.61,,,0.03,5067,22,,,
114240,1160,98.56,,-98.53,,,0.03,5072,22,,,
114528,1164,97.88,,-97.84,,,0.04,5077,22,,,
114784,1168,97.88,0.11660053604282439,-97.84,3584,0.0001,0.04,5139,22,0.7010398739948869,-10.750590294599533,-1.7933924570679665
115040,1172,97.38,,-97.33,,,0.05,5144,22,,,
115488,1176,96.85,,-96.79,,,0.06,5154,22,,,
116544,1180,96.85,,-96.79,,,0.06,5170,22,,,
116800,1184,96.3,0.1104110759915784,-96.23,3648,0.0001,0.07,5222,22,0.6965685235336423,-10.525980040431023,-1.8251539468765259
117024,1188,96.3,,-96.23,,,0.07,5227,22,,,
117376,1192,96.3,,-96.23,,,0.07,5233,22,,,
117664,1196,96.3,,-96.23,,,0.07,5238,22,,,
117920,1200,95.57,,-95.49,,,0.08,5243,22,,,
118112,1204,95.57,,-95.49,,,0.08,5247,22,,,
118624,1208,95.45,,-95.36,,,0.09,5256,22,,,
119264,1212,95.5,0.11182251141872257,-95.41,3712,0.0001,0.09,5326,22,0.6921253576874733,-10.329178720712662,-1.8581134788691998
120000,1216,95.5,,-95.41,,,0.09,5337,22,,,
120160,1220,95.19,,-95.09,,,0.1,5340,22,,,
120448,1224,95.59,,-95.5,,,0.09,5345,22,,,
120832,1228,95.59,,-95.5,,,0.09,5352,22,,,
121056,1232,95.59,0.1118735522031784,-95.5,3776,0.0001,0.09,5402,22,0.6877100327983499,-10.114827796816826,-1.890398571267724
121312,1236,96.26,,-96.18,,,0.08,5407,22,,,
121472,1240,95.64,,-95.55,,,0.09,5410,22,,,
121984,1244,95.24,,-95.14,,,0.1,5418,22,,,
122976,1248,95.24,0.10462552576791495,-95.14,3840,0.0001,0.1,5491,22,0.6833229726180434,-9.926312431693077,-1.9226547963917255
123360,1252,95.24,,-95.14,,,0.1,5499,22,,,
123648,1256,95.03,,-94.92,,,0.11,5504,22,,,
123872,1260,95.32,,-95.22,,,0.1,5508,22,,,
124256,1264,96.0,,-95.91,,,0.09,5515,22,,,
124512,1268,96.0,,-95.91,,,0.09,5520,22,,,
124672,1272,96.5,,-96.42,,,0.08,5525,22,,,
125184,1276,97.03,0.10739478759933263,-96.96,3904,0.0001,0.07,5582,22,0.6789637664332986,-9.735682860016823,-1.9547251239418983
126176,1280,97.03,,-96.96,,,0.07,5600,22,,,
126528,1284,97.18,,-97.11,,,0.07,5606,22,,,
126656,1288,96.8,,-96.72,,,0.08,5608,22,,,
126976,1292,96.8,,-96.72,,,0.08,5614,22,,,
127264,1296,96.8,0.10376057086978108,-96.72,3968,0.0001,0.08,5677,22,0.674632553011179,-9.576229676604271,-1.9873680267482996
127584,1300,97.53,,-97.46,,,0.07,5683,22,,,
127872,1304,97.53,,-97.46,,,0.07,5691,22,,,
128288,1308,97.11,,-97.04,,,0.07,5699,22,,,
129344,1312,97.11,0.10402626963332295,-97.04,4032,0.0001,0.07,5769,22,0.6703289160504937,-9.412014409899712,-2.0193274058401585
129696,1316,97.11,,-97.04,,,0.07,5775,22,,,
129824,1320,97.42,,-97.36,,,0.06,5778,22,,,
130176,1324,97.42,,-97.36,,,0.06,5783,22,,,
130464,1328,97.42,,-97.36,,,0.06,5788,22,,,
130720,1332,97.16,,-97.09,,,0.07,5794,22,,,
131040,1336,97.16,,-97.09,,,0.07,5800,22,,,
131424,1340,96.53,0.10206957475747913,-96.45,4096,0.0001,0.08,5864,22,0.6660529216751456,-9.291708812117577,-2.0516426004469395
131744,1344,96.96,,-96.89,,,0.07,5871,22,,,
132608,1348,96.64,,-96.56,,,0.08,5887,22,,,
132928,1352,96.64,,-96.56,,,0.08,5895,22,,,
133248,1356,96.85,0.10538098367396742,-96.78,4160,0.0001,0.07,5954,22,0.6618041973561049,-9.099086508154869,-2.0840743519365788
133664,1360,96.85,,-96.78,,,0.07,5963,22,,,
133920,1364,96.85,,-96.78,,,0.07,5967,22,,,
134240,1368,96.85,,-96.78,,,0.07,5973,22,,,
134464,1372,96.37,,-96.29,,,0.08,5978,22,,,
134784,1376,96.37,,-96.29,,,0.08,5983,22,,,
135776,1380,96.31,0.10095514706335962,-96.23,4224,0.0001,0.08,6058,22,0.6575826453045011,-8.917902529239655,-2.116115029901266
136064,1384,95.8,,-95.71,,,0.09,6066,22,,,
136160,1388,96.18,,-96.1,,,0.08,6068,22,,,
136576,1392,95.7,,-95.61,,,0.09,6077,22,,,
136992,1396,95.7,,-95.61,,,0.09,6085,22,,,
137216,1400,95.7,,-95.61,,,0.09,6091,22,,,
137504,1404,95.7,0.09779268823331222,-95.61,4288,0.0001,0.09,6152,22,0.6533878883346915,-8.715423479676247,-2.1488644964993
137952,1408,95.76,,-95.67,,,0.09,6160,22,,,
138944,1412,95.76,,-95.67,,,0.09,6176,22,,,
139168,1416,95.76,,-95.67,,,0.09,6180,22,,,
139360,1420,95.76,0.09762628411408514,-95.67,4352,0.0001,0.09,6240,22,0.6492197262123227,-8.531294286251068,-2.180818010121584
139776,1424,95.76,,-95.67,,,0.09,6248,22,,,
140192,1428,95.36,,-95.26,,,0.1,6256,22,,,
140384,1432,95.62,,-95.53,,,0.09,6260,22,,,
140672,1436,95.62,,-95.53,,,0.09,6268,22,,,
141056,1440,96.87,,-96.8,,,0.07,6276,22,,,
141344,1444,96.5,0.09638687130063772,-96.42,4416,0.0001,0.08,6340,22,0.6450786609202623,-8.358947932720184,-2.212938293814659
142240,1448,96.82,,-96.75,,,0.07,6355,22,,,
142560,1452,96.82,,-96.75,,,0.07,6361,22,,,
142976,1456,96.82,,-96.75,,,0.07,6369,22,,,
